created_at,updated_at,id,parent_category_id,language_id,name,code
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100008068,100000002,1,Pet First Aid & Emergency Kits,000008068
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006248,100000002,1,Pet Flea & Tick Control,000006248
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005162,100000002,1,Pet Food Containers,000005162
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005163,100000002,1,Pet Food Scoops,000005163
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006383,100000002,1,Pet Grooming Supplies,000006383
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006385,100006383,1,Pet Combs & Brushes,000006385
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100503733,100006383,1,Pet Fragrances & Deodorizing Sprays,000503733
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006384,100006383,1,Pet Hair Clippers & Trimmers,000006384
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100008167,100006383,1,Pet Hair Dryers,000008167
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100007318,100006383,1,Pet Nail Polish,000007318
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100007319,100006383,1,Pet Nail Tools,000007319
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006406,100006383,1,Pet Shampoo & Conditioner,000006406
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100499917,100006383,1,Pet Wipes,000499917
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100500110,100000002,1,Pet Heating Pad Accessories,000500110
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100499743,100000002,1,Pet Heating Pads,000499743
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005093,100000002,1,Pet ID Tags,000005093
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006253,100000002,1,Pet Leash Extensions,000006253
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006249,100000002,1,Pet Leashes,000006249
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005145,100000002,1,Pet Medical Collars,000005145
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006861,100000002,1,Pet Medical Tape & Bandages,000006861
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005086,100000002,1,Pet Medicine,000005086
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005144,100000002,1,Pet Muzzles,000005144
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100007144,100000002,1,Pet Oral Care Supplies,000007144
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005087,100000002,1,Pet Playpens,000005087
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006973,100000002,1,Pet Steps & Ramps,000006973
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006276,100000002,1,Pet Strollers,000006276
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100007396,100000002,1,Pet Sunscreen,000007396
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100505314,100000002,1,Pet Training Aids,000505314
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100505313,100505314,1,Pet Training Clickers & Treat Dispensers,000505313
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100505304,100505314,1,Pet Training Pad Holders,000505304
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006846,100505314,1,Pet Training Pads,000006846
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100505311,100505314,1,Pet Training Sprays & Solutions,000505311
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005081,100000002,1,Pet Vitamins & Supplements,000005081
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100502982,100000002,1,Pet Waste Bag Dispensers & Holders,000502982
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100008070,100000002,1,Pet Waste Bags,000008070
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100505297,100000002,1,Pet Waste Disposal Systems & Tools,000505297
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100000007,100000002,1,Reptile & Amphibian Supplies,000000007
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005026,100000007,1,Reptile & Amphibian Food,000005026
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005027,100000007,1,Reptile & Amphibian Habitat Accessories,000005027
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005028,100000007,1,Reptile & Amphibian Habitat Heating & Lighting,000005028
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005029,100000007,1,Reptile & Amphibian Habitats,000005029
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005030,100000007,1,Reptile & Amphibian Substrates,000005030
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005013,100000002,1,Small Animal Supplies,000005013
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005014,100005013,1,Small Animal Bedding,000005014
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005015,100005013,1,Small Animal Food,000005015
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005016,100005013,1,Small Animal Habitat Accessories,000005016
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005017,100005013,1,Small Animal Habitats & Cages,000005017
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100007517,100005013,1,Small Animal Treats,000007517
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100008474,100000002,1,Vehicle Pet Barriers,000008474
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100000166,null,1,Apparel & Accessories,000000166
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100001604,100000166,1,Clothing,000001604
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005322,100001604,1,Activewear,000005322
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005697,100005322,1,Bicycle Activewear,000005697
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100003128,100005697,1,Bicycle Bibs,000003128
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100003455,100005697,1,Bicycle Jerseys,000003455
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100003188,100005697,1,Bicycle Shorts & Briefs,000003188
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006087,100005697,1,Bicycle Skinsuits,000006087
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100003729,100005697,1,Bicycle Tights,000003729
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005378,100005322,1,Boxing Shorts,000005378
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100499979,100005322,1,Dance Dresses,000499979
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100003951,100005322,1,Football Pants,000003951
